,v_acidity,chlorides,t_s_dioxide,density,alcohol,red,quality
0,0.7,0.076,34.0,0.9978,9.4,1,5
2,0.88,0.098,67.0,0.9968,9.8,1,5
3,0.76,0.092,54.0,0.997,9.8,1,5
4,0.28,0.075,60.0,0.998,9.8,1,6
5,0.66,0.075,40.0,0.9978,9.4,1,5
6,0.6,0.069,59.0,0.9964,9.4,1,5
7,0.65,0.065,21.0,0.9946,10.0,1,7
8,0.58,0.073,18.0,0.9968,9.5,1,7
9,0.5,0.071,102.0,0.9978,10.5,1,5
11,0.58,0.09699999999999999,65.0,0.9959,9.2,1,5
12,0.615,0.08900000000000001,59.0,0.9943,9.9,1,5
13,0.61,0.114,29.0,0.9974,9.1,1,5
14,0.62,0.17600000000000002,145.0,0.9986,9.2,1,5
15,0.62,0.17,148.0,0.9986,9.2,1,5
16,0.28,0.092,103.0,0.9969,10.5,1,7
17,0.56,0.368,56.0,0.9968,9.3,1,5
18,0.59,0.086,29.0,0.9974,9.0,1,4
19,0.32,0.341,56.0,0.9969,9.2,1,6
20,0.22,0.077,60.0,0.9968,9.4,1,6
21,0.39,0.08199999999999999,71.0,0.9982,9.7,1,5
22,0.43,0.106,37.0,0.9966,9.5,1,5
24,0.49,0.084,67.0,0.9968,9.4,1,5
25,0.4,0.085,40.0,0.9968,9.7,1,6
26,0.39,0.08,23.0,0.9955,9.3,1,5
27,0.41,0.08,11.0,0.9962,9.5,1,5
28,0.71,0.08,35.0,0.9972,9.4,1,5
29,0.645,0.08199999999999999,16.0,0.9964,9.8,1,6
30,0.675,0.08900000000000001,82.0,0.9958,10.1,1,5
31,0.685,0.105,37.0,0.9966,10.6,1,6
32,0.655,0.083,113.0,0.9966,9.8,1,5
33,0.605,0.073,83.0,0.9993,9.4,1,6
34,0.32,0.10300000000000001,50.0,0.9957,9.2,1,5
35,0.645,0.086,18.0,0.9986,9.6,1,6
36,0.6,0.086,15.0,0.9975,10.8,1,6
37,0.38,0.066,30.0,0.9968,9.7,1,7
38,1.13,0.172,19.0,0.9940000000000001,9.8,1,4
39,0.45,0.07400000000000001,87.0,0.9978,10.5,1,5
41,0.61,0.08800000000000001,46.0,0.9976,9.3,1,4
42,0.49,0.332,14.0,0.9968,10.5,1,6
43,0.66,0.069,23.0,0.9968,10.3,1,5
44,0.67,0.05,11.0,0.9962,9.5,1,5
45,0.52,0.054000000000000006,65.0,0.9934,13.1,1,4
46,0.935,0.114,114.0,0.997,9.2,1,5
47,0.29,0.113,37.0,0.9969,9.5,1,5
48,0.4,0.066,12.0,0.9958,9.2,1,5
49,0.31,0.07400000000000001,96.0,0.9954,9.2,1,5
50,0.66,0.07400000000000001,23.0,0.9971,9.2,1,5
51,0.52,0.069,15.0,0.9956,9.4,1,6
52,0.5,0.068,14.0,0.9955,9.4,1,6
53,0.38,0.081,119.0,0.997,9.4,1,5
54,0.51,0.11,73.0,0.9955,10.2,1,6
55,0.62,0.084,45.0,0.9978,9.5,1,5
56,0.42,0.07,10.0,0.9971,9.6,1,5
57,0.63,0.111,110.0,0.9983,9.4,1,5
58,0.59,0.076,54.0,0.9975,10.0,1,5
59,0.39,0.07400000000000001,46.0,0.9962,9.4,1,6
60,0.4,0.079,52.0,0.998,9.2,1,5
61,0.69,0.115,112.0,0.9968,9.3,1,5
